SampleID,Depth,Size_fraction,Province
TARA_018_DCM_0.22-1.6,DCM,0.22-1.6,Mediterranean
TARA_018_SRF_0.22-1.6,SRF,0.22-1.6,Mediterranean
TARA_023_DCM_0.22-1.6,DCM,0.22-1.6,Mediterranean
TARA_023_SRF_0.22-1.6,SRF,0.22-1.6,Mediterranean
TARA_025_DCM_0.22-1.6,DCM,0.22-1.6,Mediterranean
TARA_025_SRF_0.22-1.6,SRF,0.22-1.6,Mediterranean
TARA_030_DCM_0.22-1.6,DCM,0.22-1.6,Mediterranean
TARA_030_SRF_0.22-1.6,SRF,0.22-1.6,Mediterranean
TARA_031_SRF_0.22-1.6,SRF,0.22-1.6,Red Sea
TARA_032_DCM_0.22-1.6,DCM,0.22-1.6,Red Sea
TARA_032_SRF_0.22-1.6,SRF,0.22-1.6,Red Sea
TARA_033_SRF_0.22-1.6,SRF,0.22-1.6,Red Sea
TARA_034_DCM_0.22-1.6,DCM,0.22-1.6,Red Sea
TARA_034_SRF_0.22-1.6,SRF,0.22-1.6,Red Sea
TARA_036_DCM_0.22-1.6,DCM,0.22-1.6,Arabian Sea
TARA_036_SRF_0.22-1.6,SRF,0.22-1.6,Arabian Sea
TARA_037_MES_0.22-1.6,MES,0.22-1.6,Arabian Sea
TARA_038_DCM_0.22-1.6,DCM,0.22-1.6,Arabian Sea
TARA_038_MES_0.22-1.6,MES,0.22-1.6,Arabian Sea
TARA_038_SRF_0.22-1.6,SRF,0.22-1.6,Arabian Sea
TARA_039_DCM_0.22-1.6,DCM,0.22-1.6,Arabian Sea
TARA_039_MES_0.22-1.6,MES,0.22-1.6,Arabian Sea
TARA_041_DCM_0.22-1.6,DCM,0.22-1.6,Arabian Sea
TARA_041_SRF_0.22-1.6,SRF,0.22-1.6,Arabian Sea
TARA_042_DCM_0.22-1.6,DCM,0.22-1.6,Indian Ocean
TARA_042_SRF_0.22-1.6,SRF,0.22-1.6,Indian Ocean
TARA_045_SRF_0.22-1.6,SRF,0.22-1.6,Indian Ocean
TARA_048_SRF_0.22-1.6,SRF,0.22-1.6,Unknown
TARA_004_DCM_0.22-1.6,DCM,0.22-1.6,North Atlantic
TARA_004_SRF_0.22-1.6,SRF,0.22-1.6,North Atlantic
TARA_052_DCM_0.22-1.6,DCM,0.22-1.6,Unknown
TARA_052_SRF_0.22-1.6,SRF,0.22-1.6,Unknown
TARA_007_DCM_0.22-1.6,DCM,0.22-1.6,Mediterranean
TARA_007_SRF_0.22-1.6,SRF,0.22-1.6,Mediterranean
