,Domain,Phylum,Class,Order,Family,Genus
Seq1,undef,undef,undef,undef,undef,undef
Seq2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group
Seq3,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group
Seq5,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq6,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq7,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,
Seq8,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq9,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq10,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq11,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group
Seq13,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
Seq14,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq15,Archaea,Thaumarchaeota,Marine Group I,,,
Seq16,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter
Seq17,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),
Seq18,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq19,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq20,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq21,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,
Seq22,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter
Seq23,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
Seq24,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter
Seq25,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group
Seq26,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,
Seq27,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,
